title,field_lengdegrad,field_breddegrad,field_skolenavn,field_epostadresse,field_postnummer_skole,field_post,field_webside
Node 0,5.69944120314887,58.954882573909906,Acta Bibelskole,acta@imikirken.no,4021,STAVANGER,
Node 1,10.823401689940601,63.533299592173904,Aglo videregående skole,aglo@aglo.no,7510,SKATVAL,aglo.no
Node 2,5.33142130259372,60.3906369897566,Akademiet Bergen Fpg AS,bergen@akademiet.no,5017,BERGEN,www.akademiet.no
Node 3,10.1667345311257,59.7390316768223,Akademiet Drammen AS,drammen@akademiet.no,3047,DRAMMEN,www.akademiet.no
Node 4,10.9509470512021,59.209440558585996,Akademiet Fredrikstad AS,fredrikstad@akademiet.no,1604,FREDRIKSTAD,www.akademiet.no
Node 5,6.1503151476507,62.47340164505321,Akademiet Heltberg Toppidrettsgymnas Ålesund AS,alesund@heltberg.no,6004,ÅLESUND,www.heltberg.no
Node 6,8.02905473645719,58.153246656948006,Akademiet Kristiansand AS,kristiansand@akademiet.no,4632,KRISTIANSAND S,www.akademiet.no
Node 7,10.7317909263016,59.9234478358823,Akademiet Oslo AS,oslo@akademiet.no,167,OSLO,www.akademiet.no
Node 8,5.73302772996167,58.85098055027021,Akademiet Sandnes,sandnes@akademiet.no,4306,SANDNES,www.akademiet.no/vgs/skolesteder/sandnes/
Node 9,7.172828065802141,62.739718857565606,Akademiet Vgs Molde AS,molde@akademiet.no,6415,MOLDE,
Node 10,6.1503151476507,62.47340164505321,Akademiet Vgs Ålesund AS,alesund@akademiet.no,6004,ÅLESUND,
Node 11,10.171568445900402,59.748731470033,Akademiet Ypsilon videregående skole AS,ypsilon@akademiet.no,3023,DRAMMEN,www.akademiet.no
Node 12,23.2978241109091,69.9746568021842,Alta videregående skole,postmottak@tffk.no,9510,ALTA,www.alta.vgs.no/
Node 13,5.338077031532991,60.38566313643501,Amalie Skram videregående skole,post@vlfk.no,5015,BERGEN,skole.hfk.no/amalieskramvgs/
Node 14,16.1291147695844,69.3169640114601,Andøy videregående skole,post@nfk.no,8480,ANDENES,www.andoy.vgs.no
Node 15,8.08402645123232,58.182979601274006,Ansgar Bibelskole AS,post@ansgarskolen.no,4635,KRISTIANSAND S,www.ansgarskolen.no
Node 16,8.76989977553447,58.4630609026509,Arendal videregående skole,postmottak@agderfk.no,4841,ARENDAL,www.arendal.vgs.no
Node 17,8.7640548498218,58.45801167601579,Arendal videregående skole,postmottak@agderfk.no,4836,ARENDAL,www.arendal.vgs.no
Node 18,5.46022284033398,60.4425613597666,Arna vidaregåande skule,post@vlfk.no,5260,INDRE ARNA,skole.hfk.no/arnavgs
Node 19,10.437457330773,59.8315903412316,Asker videregående skole,post@viken.no,1386,ASKER,www.asker.vgs.no
Node 20,11.160602809716801,59.5752390233494,Askim videregående skole,post@viken.no,1813,ASKIM,www.askim.vgs.no/
Node 21,5.217954076369531,60.4175975325764,Askøy videregående skole,post@vlfk.no,5300,KLEPPESTØ,skole.hfk.no/askoyvgs
Node 22,7.7362892691995295,63.1264950739202,Atlanten videregående skole,post@mrfylke.no,6511,KRISTIANSUND N,www.atlanten.vgs.no
Node 23,14.566100977783,68.23643554971851,Aust-Lofoten videregående skole,post@nfk.no,8300,SVOLVÆR,www.aust-lofoten.vgs.no
Node 24,4.9373147715195,60.78851817124121,Austrheim vidaregåande skule,post@vlfk.no,5943,AUSTRHEIM,skole.hfk.no/austrheimvgs
Node 25,9.705648518657949,59.0447788653294,Bamble videregående skole,post@vtfk.no,3960,STATHELLE,www.croftholmen.vgs.no/
Node 26,9.703206662825089,59.027611665593206,Bamble videregående skole,post@vtfk.no,3961,STATHELLE,www.bamble.vgs.no
Node 27,18.485045676452803,69.0553276590177,Bardufoss videregående skole,postmottak@tffk.no,9325,BARDUFOSS,www.bardufoss.vgs.no
Node 28,5.7372432971090195,58.96730645096189,Bergeland videregående skole,firmapost@rogfk.no,4012,STAVANGER,www.bergeland.vgs.no
Node 29,5.35594947955499,60.3780450729959,Bergen Bibelskole,post@bergenbibelskole.no,5009,BERGEN,www.bergenbibelskole.no
Node 30,5.33083754330706,60.393398239244696,Bergen katedralskole,post@vlfk.no,5017,BERGEN,skole.hfk.no/bergenkatedralskole
Node 31,5.33362144242953,60.3854173111346,Bergen Maritime videregående skole,post@vlfk.no,5008,BERGEN,skole.hfk.no/nb-NO/skole/bergen-maritime-videregaende-skole/
Node 32,5.3313787934716395,60.3874631114136,Bergen Private gymnas AS,post@bpg.no,5008,BERGEN,www.metis.no
Node 33,5.11735386694338,60.3446186374532,Bibelskolen Bildøy,post@bildoybibelskole.no,5353,STRAUME,www.bbb.vgs.no
Node 34,8.565931944978018,58.3116864325593,Bibelskolen i Grimstad,post@bibelskolen.no,4879,GRIMSTAD,www.bibelskolen.no
Node 35,10.3923709487174,63.42861613659229,Bibelskolen i Trondheim,heidi@bibelskolenitrondheim.no,7012,TRONDHEIM,www.bibelskolenitrondheim.no
Node 36,5.7396204507330895,58.96837370464971,Bibelskolen Link,academy@hillsong.no,4012,STAVANGER,hillsong.com/norway/academy
Node 37,11.0153815796795,59.9817148182837,Bibelskolen Oslo Kristne Senter,bibelskolen@oks.no,2007,KJELLER,www.bibelskole.no
Node 38,10.255656526289801,59.24916883839621,Bibelskolen på Fossnes,bibelskolen@nll.no,3160,STOKKE,www.fossnes.no
Node 39,5.33865045201954,60.377219283967,Bibelskolen Substans,johnny@bibelskolensubstans.no,5053,BERGEN,www.substans.co
Node 40,10.8364790898417,59.9410362729356,Bjerke videregående skole,postmottak@oslo.kommune.no,594,OSLO,bjerke.vgs.no
Node 41,10.880188815034302,60.049009034200296,Bjertnes videregående skole,post@viken.no,1482,NITTEDAL,www.bjertnes.vgs.no/
Node 42,11.5588830718627,59.88374387677921,Bjørkelangen videregående skole,post@viken.no,1940,BJØRKELANGEN,www.bjorkelangen.vgs.no/
Node 43,10.8355837676261,59.834444782173605,Bjørnholt videregående skole,postmottak@oslo.kommune.no,1275,OSLO,bjornholt.vgs.no
Node 44,10.4456022918129,59.8268760970652,Bleiker videregående skole,post@viken.no,1387,ASKER,www.bleiker.vgs.no/
